year,species_richness,occurrences,species_per_1000_occ
1990,7502,1771417,4.2350276642936135
1991,7641,1894265,4.033754516923451
1992,7805,2013959,3.875451287737238
1993,7809,2152562,3.6277700711988783
1994,8100,2310105,3.5063341276695215
1995,8514,2607314,3.2654294803004165
1996,8552,2787109,3.0684124661073535
1997,8640,2975192,2.904014261936709
1998,8630,3269043,2.639916330253227
1999,8645,3542041,2.4406832106121863
2000,8631,3877578,2.2258739862873163
2001,8837,4236758,2.0857929577285277
2002,8893,4813796,1.847398601851844
2003,8979,5512030,1.6289824257124872
2004,9101,6159900,1.477459049659897
2005,9244,6859543,1.3476116411836765
2006,9295,8533291,1.089263216266737
2007,9453,10292030,0.9184776958481465
2008,9494,11897739,0.7979667397309691
2009,9581,14921140,0.6421091149871927
2010,9610,19161756,0.5015197980811362
2011,9631,23855723,0.40371863808110114
2012,9692,32438465,0.2987810921386077
2013,9695,40317411,0.2404668295789132
2014,9785,50530908,0.19364385852714144
2015,9831,61194572,0.16065150353531357
2016,9865,73663402,0.1339199620457388
2017,9930,88437579,0.11228258521188149
2018,9932,109119621,0.09101937771576388
2019,9960,127223673,0.0782873168580819
2020,9413,156727513,0.06005965270437233
2021,9388,181410505,0.05175003509306145
2022,9933,202300019,0.04910034140926107
2023,10057,226769204,0.04434905543876231
2024,10098,246515008,0.040963023233051996
