region,year,ndvi_mean,ndvi_std,num_samples
Western_Ghats_South,2018,0.607739366638796,0.11753926071979046,26
Western_Ghats_South,2019,0.6148256211960815,0.130078970202991,26
Western_Ghats_South,2020,0.6631876992509144,0.1342748993814737,26
Western_Ghats_South,2021,0.6204988730110469,0.12398973655272341,26
Western_Ghats_South,2022,0.6405811710330732,0.12928201864338323,26
Western_Ghats_South,2023,0.6505842995169082,0.1294978299794627,26
Western_Ghats_South,2024,0.6271410999628391,0.12399962245085262,26
Western_Ghats_North,2018,0.43052333333333337,0.0610019905000611,30
Western_Ghats_North,2019,0.43267623188405796,0.0718966662978382,30
Western_Ghats_North,2020,0.48672217391304345,0.06874113710965157,30
Western_Ghats_North,2021,0.49459811594202907,0.07179835383006641,30
Western_Ghats_North,2022,0.4565908695652174,0.07073973494437197,30
Western_Ghats_North,2023,0.4396682608695653,0.0709229230284615,30
Western_Ghats_North,2024,0.4456928985507246,0.06578491857284775,30
Periyar_National_Park,2018,0.6446594202898551,0.07038826265982742,30
Periyar_National_Park,2019,0.6627766666666666,0.062255647820493004,30
Periyar_National_Park,2020,0.7316802898550725,0.06593048239472145,30
Periyar_National_Park,2021,0.6627978260869565,0.07223293733456947,30
Periyar_National_Park,2022,0.6665310144927538,0.06969573335076537,30
Periyar_National_Park,2023,0.7320136231884058,0.07112357946602275,30
Periyar_National_Park,2024,0.6806727536231885,0.06812513398293787,30
